Name of the file,Topic,Participant,Time,Dialogue,Translation,CS/DM,Comments
WS213188,,Interviewer,00:00,<zulu>Igama ungubani</zulu>?,<english>Your name is</english>?,,
,,Participant,,UNDESCERNIBLE,UNDESCERNIBLE,,
,,Interviewer,,<zulu>Asiqale-ke</zulu>. What language or languages do you typically use with your family and why?,<english>Let us start</english>. What language or languages do you typically use with your family and why?,,
,,Participant,,"Ah, most of the time <zulu>kuba isiZulu</zulu> coz we grew up eh- eh- like <zulu>abantu abadala, abantu abasikhulisa bebekhuluma isiZulu</zulu> so <zulu>efemilini uma sihleli ndawonye</zulu> we normally use <zulu>isiZulu isikhathi esiningi, ebesekuthi lelidlanzana labantu abasha</zulu> because <zulu label='power'> ukushintsha kwezikhathi yabona</zulu label='power'>, so <zulu>basebenzisa isiZulu basimikse nesiNgisi.</zulu> But <zulu>uma ukhuluma nabantu abadala emndenini</zulu> you need to use <zulu>isiNgisi- isiZulu kakhulukazi</zulu>. <afrikaans>Ja.</afrikaans>.","Ah, most of the time <english>it's just Zulu</english> coz we grew up eh- eh- like <english>older people, people who raised us spoke in Zulu</english> so <english>when family is together</english> we normally use <english>Zulu most of the time, then a small portion of youth</english> because <english>with the changing of the times you see,</english> so <english>they use Zulu mixing it with English</english>. But <english>but when you are addressing older people in the family</english> you need to use <zulu>English- Zulu mostly.</english>. <english>Yes</english>.",,"SM: Power. LF: ""uyabona"" is used by the Participant to shift power dynamics right from the start."
,,Interviewer,,What language or languages do you use with friends and why?,What language or languages do you use with friends and why?,,
,,Participant,,"Ah, we usually use ah- English coz most of them- of them <zulu>kuba</zulu> eh- eh- like people who use different languages so for us to communicate when we’re doing our stuff we have to use English coz basically that- that’s the only way we can communicate coz that’s the only language we can all understand so we have to use English at that time. But if- normally when I’m around=","Ah, we usually use ah- English coz most of them- of them <english>it is</english> eh- eh- like people who use different languages so for us to communicate when we’re doing our stuff we have to use English coz basically that- that’s the only way we can communicate coz that’s the only language we can all understand so we have to use English at that time. But if- normally when I’m around=",,
,,Interviewer,,"You mean your friends, <zulu>abanye ba amaKhaladi, ba ama- abeSuthu=</zulu>","You mean your friends, <english>some are Coloureds, others are Sotho=</english>",,
,,Participant,,"<afrikaans>Ja,</afrikaans> so therefore we have to stick to English so we can understand each other. But <zulu>lokho kuyahluka</zulu> coz most of the times, <zulu>isikhathi sempilo ngisipenda la eskoleni.</zulu> But when I go home most of them=","<english>Yes,</english> so therefore we have to stick to English so we can understand each other. But <english>that differs</english> coz most of the times, <english>most of the time i spend at school.</english> But when I go home most of them=",,"LF: the Participant uses the word ""therefore"" and ""most"" to show his expertise (SM) or rather, an emphasis on why he codeswitches when he is with friends of different ethnicity and races."
,,Interviewer,,<zulu>La amanye amafriends?</zulu>,<english>These other friends?</english>,,
,,Participant,,"<afrikaans>Ja.</afrikaans> So different people, we have to divert to that sense of speaking English all the time so now you have to speak English everytime so now you have to switch back to speaking <zulu>isiZulu.</zulu>","<english>Yes.</english> So different people, we have to divert to that sense of speaking English all the time so now you have to speak English everytime so now you have to switch back to speaking <english>Zulu.</english>",,
,,Interviewer,,What language or languages do you use in school?,What language or languages do you use in school?,,
,,Participant,,At the university?,At the university?,,
,,Interviewer,,<afrikaans>Ja</afrikaans> at the university.,<english>Yes</english> at the university.,,
,,Participant,,"Ah, it’s basically Zulu and English but most of Zulu. I can say 60% of English and 40% of Zulu.","Ah, it’s basically Zulu and English but most of Zulu. I can say 60% of English and 40% of Zulu.",,
,,Interviewer,,Do you think it’s important to know English and why?,Do you think it’s important to know English and why?,,
,,Participant,,"It is important to know English coz I think for me it’s a basic language to communicate and- to understand stuff you have to know English, you have to understand English.","It is important to know English coz I think for me it’s a basic language to communicate and- to understand stuff you have to know English, you have to understand English.",,
,,Interviewer,,You mean to understand what you are doing at the university?,You mean to understand what you are doing at the university?,,
,,Participant,,"Yes yes, because most of the things are interpreted in English, to understand that you have to understand English first. It’s a basic language to- to- to be exposed to- to everything that has been done at university. So you cant- it’s the first thing that you have to know.","Yes yes, because most of the things are interpreted in English, to understand that you have to understand English first. It’s a basic language to- to- to be exposed to- to everything that has been done at university. So you cant- it’s the first thing that you have to know.",,
,,Interviewer,,Do you think it’s important for anyone to know his or her native language?,Do you think it’s important for anyone to know his or her native language?,,
,,Participant,,"It is coz- basically <zulu>uma-</zulu> if you can loose <zulu>isiZulu</zulu>, you have lost the person you are. That’s- that’s the person- language <zulu>okhulele kuyona</zulu> and <zulu>abantu abadala, abantu bakini bakhule bekhuluma leyo</zulu> language, so <zulu>umu-</zulu> like- <zulu label='lament'>kufana nokuthi uluza amaroots</zulu label='lament'>. You’re still there but <zulu label='lament'>amaroots</zulu> are not there because=","It is coz- basically <english>when-</english> if you can loose <english>Zulu,</english> you have lost the person you are. That’s- that’s the person- language <english>you grew up onokhulele kuyona</english> and <english>older people, your own kin grew up speaking that</english> language, so <english>when-</english> like- <english>it's like you loose your roots.</english> You’re still there but <english>the roots</english> are not there because=",,"SM: the Participant expresses a feeling of lament in a sense that he doesn't want his language to die, and that he feels language carries memory and culture (roots). LF: words such as ""loose"", ""lost"" and ""roots"" signify the feelings of lament."
,,Interviewer,,<zulu>Uchaza ukuthi</zulu> you want to keep this basic identity and build all the other- reconstruct and build other identities on top of it-,<english>You mean that</english> you want to keep this basic identity and build all the other- reconstruct and build other identities on top of it-,,"Code switching happens here due to a ""warm"" interaction between the Participant and the Interviewer."
,,Participant,,On top of it. I don’t have to loose it. <zulu>Ichaza wena</zulu> as <zulu>umuntu owuMzulu</zulu> because if <zulu>isiZulu ungasasazi kodwa uwuMzulu(…) angisaboni ukuthi kuyayakha isense ukuba uMzulu.</zulu> So it’s important to=,On top of it. I don’t have to loose it. <english>It describes you</english> as <english>a person that is Zulu</english> because if <english>you don't know Zulu as a Zulu person(…) I don't see if it makes sense to be Zulu.</english> So it’s important to=,,"SM: Participant shows expertise as he puts an emphasis on why Zulus should never loose their language. LF: words such as ""loose"" and ""important"" are key indicators of caution or emphasis in this codeswitching instance. "
,,Interviewer,,"Do you mix several languages in one conversation? If yes, when and why? And what languages do you tend to mix?","Do you mix several languages in one conversation? If yes, when and why? And what languages do you tend to mix?",,
