Name of the file,Topic,Participant,CN,Dialogue,Translation,CS/SS,Comments,
130701_001,,Interviewer,00:00:00mins,"So thank you for your time. Thank you for making time for this conversation, about language use. Yea and I will start off by asking you, what language do you typically use at home?","So thank you for your time. Thank you for making time for this conversation, about language use. Yea and I will start off by asking you, what language do you typically use at home?",,Very  noisy background.,
,,Andrew,,"Aah, at home I-I usually use Kiswahili, with a bit of mother tongue. That is, Bukusu a subtribe of the Luya. ","Aah, at home I-I usually use Kiswahili, with a bit of mother tongue. That is, Bukusu a subtribe of the Luya. ",,,
,,Interviewer,,Mm hmm. Why do you use Kiswahili? Luya too?,Mm hmm. Why do you use Kiswahili? Luya too?,,,
,,Andrew,,I use Kiswahili because I find it more friendly. ,I use Kiswahili because I find it more friendly. ,,,
,,Interviewer,,Yes?,Yes?,,,
,,Andrew,,"And li-with my parents I find it easy to use Kiswahili than I could express myself in vernacular, cuz I'm not as well so competent with vernacular.","And li-with my parents I find it easy to use Kiswahili than I could express myself in vernacular, cuz I'm not as well so competent with vernacular.",,,
,,Interviewer,,"Okay,<Swahili>haujui Kibukusu vizuri?</Swahili>","Okay,<English>you don't know Bukusu well?</English>",,Sounds like he's smiling. Amused. Displaying hierarchy.,
,,Andrew,,"Ai, <Swahili label='accomodation'>sija</Swahili label='accomodation'>master <Swahili>vyema</Swahili> {that's} why <Swahili>nina-nikijaribu kukiongea napata nachekwa=</Swahili>","Ai, <English>I haven't</English>master[ed it] <English>well</English> {that's} why <English>I-when I try to speak I find I am laughed at=</English>",CS,SM: Accomodation.,
,,Interviewer,,{Why?},{Why?},,,
,,Andrew,,"{So, so I normally}=","{So, so I normally}=",,,
,,Interviewer,,(laughing) <Swahili label='accomodation'>{Unachekwa na</Swahili label='accomodation'>-Is it} because you-you didn't grow up in-in-in a Luya: Bukusu kind of setting? Or it's just-what do you think is the reason?,(laughing) <English>{You are laughed at and </English>-Is it} because you-you didn't grow up in-in-in a Luya: Bukusu kind of setting? Or it's just-what do you think is the reason?,CS,SM: Accomodation.,
,,Andrew,,"Maybe that's one of the reasons but then, it's not a major reason. {That's only because I=}","Maybe that's one of the reasons but then, it's not a major reason. {That's only because I=}",,,
,,Interviewer,,{Then what is the major reason?},{Then what is the major reason?},,,
,,Andrew,,"It's b-, I think-it's-it's funny, indeed. My dad used to be a Kiswahili teacher.","It's b-, I think-it's-it's funny, indeed. My dad used to be a Kiswahili teacher.",,,
,,Interviewer,,Aaaah.,Aaaah.,,,
,,Andrew,,"So we knew it in school he is so competent,[uncertain transcription] . And then you {just adopted a culture}.","So we knew it in school he is so competent,[uncertain transcription] . And then you {just adopted a culture}.",,,
,,Interviewer,,{You-you find yourself-} That's your dad. How about your mom?,{You-you find yourself-} That's your dad. How about your mom?,,,
,,Andrew,,"My mom is-she's just-she's at home, she's um [uncertain transcription].","My mom is-she's just-she's at home, she's um [uncertain transcription].",,,
,,Interviewer,,Yea but I mean why-she's not a Kiswahili teacher so why don't you use Bukusu with her?,Yea but I mean why-she's not a Kiswahili teacher so why don't you use Bukusu with her?,,,
,,Andrew,,"Yea, I just got used to much of Kiswahili. ","Yea, I just got used to much of Kiswahili. ",,,
,,Interviewer,,"Mmm. Like me, I'm not very fluent in my mother tongue but I'll never be ashamed of using my mother tongue <Swahili label='refereeing'>na mamangu</Swahili label='refereeing'>.  Because she'd not laugh at me, she'll correct me.  Do you use some Luya with her?","Mmm. Like me, I'm not very fluent in my mother tongue but I'll never be ashamed of using my mother tongue <English>with my mother</English>.  Because she'd not laugh at me, she'll correct me.  Do you use some Luya with her?",CS,SM: Refereeing.,
,,Andrew,,Yea.,Yea.,,,
,,Interviewer,,Your mother?,Your mother?,,,
,,Andrew,00:01:59mins,Usually I think normally when you are in the kitchen=,Usually I think normally when you are in the kitchen=,,,
,,Interviewer,,Eh hee.  When nobody else is-is listening.,Eh hee.  When nobody else is-is listening.,,,
,,Andrew,,Yea. When nobody else is listening.,Yea. When nobody else is listening.,,,
,,Interviewer,,Do you have a brothers <Swahili>ama na</Swahili> sisters?,Do you have a brothers <English>or and </English> sisters?,CS,Unmarked.,
,,Andrew,,"Yes, I have one brother and two sisters.","Yes, I have one brother and two sisters.",,,
,,Interviewer,,Eh he. So which language do you use with them?,Eh he. So which language do you use with them?,,,
,,Andrew,,I-usually Kiswahili with a  bit of English.,I-usually Kiswahili with a  bit of English.,,,
,,Interviewer,,With a bit of -this time with English now?,With a bit of -this time with English now?,,,
,,Andrew,,"Yea, English.","Yea, English.",,,
