Name of the file,Topic,Participant,Time,Dialogue,Translation,CS/DM,Comments
DS500003,,Interviewer,00:00,"Aah, what language do you typically use with family? <zulu>Uliphi ulwimi olisebenzisayo nomndeni wakho?</zulu>","Aah, what language do you typically use with family? <english>What language do you use with your family?</english>",,
,,Participant,,"Aah, with my family, aah, usually use Zulu coz isiZulu=","Aah, with my family, aah, usually use Zulu coz isiZulu=",,"SM: Refereeing. OLF: ""usually"" is used to show respect and culture amongst his family members, and elders."
,,Interviewer,,"Okay, alright, <afrikaans>ja.</afrikaans> And then aah, <zulu>nabangani,</zulu> which languages do you use?","Okay, alright, <english>yes.</english> And then aah, <english>with friends,</english> which languages do you use?",,
,,Participant,,"Aah, with friends , eeh, we usually- we usually mix=","Aah, with friends , eeh, we usually- we usually mix=",,"SM: In-group Identification (low). OLF: ""we usually"" is repeated to put an emphasis on what the Participant does when he is with his friends. "
,,Interviewer,,Mix?=,Mix?=,,
,,Participant,,"English <zulu>nesiZulu,</zulu> eeh=","English <english>and Zulu,</english> eeh=",,
,,Interviewer,,Why?<zulu>kungani nise- nihlanganisa konke?</zulu>,Why?<english>why do- you mix everything?</english>,,
,,Participant,,"Mmmhh… <zulu>isizathu esenza lokho</zulu> it’s because most like- most of us <zulu>abala evarsity</zulu> they went to those- these schools <zulu label='power'>eziphakeme, yabo?</zulu label='power'> So they are used to English and then <zulu>noma sebekhuluma nathi bajwayele ukuthi ba- basebenzise isiNgisi,</zulu> and <zulu>enye into umangabe ukule</zulu> environment <zulu>yala euniversity, nje, uma ngabe- umangabe ungasazi isiNgisi</zulu> or sometimes <zulu>uma ngabe ukhuluma</zulu> and then you do not switch to English <zulu label='power'>uthathwa njengomuntu osaphansi, yabona ngokwestandard.</zulu label='power'> So sometimes <zulu>ukuavoider izinto ezinjalo,</zulu> so <zulu>ngiyayengivele ngizame ukuthi ngishintshe, ngikhulume isiZulu ngisixube nesiNgisi.</zulu> Just like that.","Mmmhh… <english>the reason for that</english> it’s because most like- most of us <english>here at university</english> they went to those- these schools <english>that higher, you see?</english> So they are used to English and then <english>even when they talk to us they- they use English,</english> and <english>another thing when you are in an</english> environment <english>here at university, just, when you- when you don't know English</english> or sometimes <english>when you are talking</english> and then you do not switch to English <english>you are taken for granted, you see by the standard.</english> So sometimes <english>to avoid things like those,</english> so <english>usualy just try to change, speak English and mix it with Zulu.</english> Just like that.",,"SM: Power relationship / shift. OLF: ""yabo"" and ""yabona"" is used by the Participant from the start because the Interviewer will not let him finish his sentences (answers)."
,,Interviewer,,"Okay, alright. Aah- okay, <zulu>mhlawumbe umbuzo oziphindaphindayo lo,</zulu> what language do you use at the university <zulu>lapha eskoleni?</zulu>","Okay, alright. Aah- okay, <english>perhaps this question repeats itself,</english> what language do you use at the university <english>here in school?</english>",,
,,Participant,,"<afrikaans>Ja,</afrikaans> <zulu>la eyunivesithi</zulu> it’s English and Zulu, <afrikaans>ja.</afrikaans>","<english>Yes,</english> <english>here at university</english> it’s English and Zulu, <english>yes.</english>",,
,,Interviewer,,"Okay, alright, and then aah, do you think it is important to know English and why?","Okay, alright, and then aah, do you think it is important to know English and why?",,
