Name of the file,Topic,Participant,Time,Dialogue,Translation,CS/DM,Comments
DS500004,,Interviewer,00:00,"Okay my brother, what languages do you typically use with your family?","Okay my brother, what languages do you typically use with your family?",,
,,Participant,,<zulu>Kuyadepender ukuthi ngikhuluma nayiphi imember yefamily ngalesosikhathi.</zulu>,<english>It depends on which family member I am talking with at that time.</english>,,
,,Interviewer,,"Okay, but <zulu>yiziphi nje ojwayele ukuzisebenzisa? Iwaphi ojwayele ukuwasebenzisa?</zulu>","Okay, but <english>which ones do you usually use? Which ones do you usually use?</english>",,
,,Participant,,<zulu>Ngijwayele ukusebenzisa isiZulu neEnglish=</zulu>,<english>I usually use Zulu and English=</english>,,
,,Interviewer,,Okay=,Okay=,,
,,Participant,,Or <zulu>ngimikse=</zulu>,Or <english>I mix=</english>,,
,,Interviewer,,"Okay, <zulu>noma umikse.</zulu> Okay, aah, what language do you use with friends?","Okay, <english>or you mix.</english> Okay, aah, what language do you use with friends?",,
,,Participant,,<zulu label='refereeing'> Amalanguages engiwasebenzisayo nabangani? Nakhona kuyangokuthi ngikhuluma nabaphi abangani. Kuyenzeka ukuthi-ke uma ngikhuluma nabangani abasemakhaya lapho kumele ngenze</zulu label='refereeing'> sure <zulu>ukuthi ngisticker esiZulwini.</zulu>,<english>The languages that I use with friends? Even then it usually depends which friends I am talking with. It happens that when I am talking with friends from the rural areas there I have to make</english> sure <english>that I stick in Zulu.</english>,,"SM: Refereeing. OLF: ""ngenze"" is used in this codeswitching instance to show respect the Participant has for his friends who come from his rural areas, that he makes sure to stick to Zulu when talking with them unless they judge him otherwise."
,,Interviewer,,Okay=,Okay=,,
,,Participant,,"As possible, <zulu label='accommodation'>besekuthi mhlawumbe umasengilana euniversity ngiyakhona ukuthi ngimikse noma ngikhulume isiNgisi kuphela umanginalabo bangani.</zulu label='accommodation'>","As possible, <english>at times perhaps when Iam here at the university I am able to mix or speak English only when I am with such friends.</english>",,"SM: Accommodation. OLF: ""besekuthi"" is used to indicate a consciousness the Participant has when communicating with various non-Zulu speaking people."
,,Interviewer,,Okay. <zulu>Kungani umiksa nalaba base- abase</zulu> university?,Okay. <english>Why do you mix with the ones from- from</english> university?,,
,,Participant,,"<zulu>Hhayi, ingoba abaningi babo bacomfortable</zulu> sometimes <zulu>uma kuwukuthi ukhuluma nabo isiNgisi=</zulu>","<english>No, it's because most of them are comfortable</english> sometimes <english>if you're speaking with them in English=</english>",,
,,Interviewer,,Okay=,Okay=,,
,,Participant,,"And <zulu>laba basemakhaya uma kuwukuthi ufuna ukumiksa ufake isiNgisi bakubona engathi uyaba underminer ngoba ukulelevel okuyona,</zulu> so <zulu>kumele ube kulestandard sabo=</zulu>","And <english>those from the rural areas if you want to mix and put English they see you as if you're undermining them because you're at the level you're in,</english> so <english>you have to be on the standard they are in=</english>",,
,,Interviewer,,Okay.,Okay.,,
,,Participant,,<zulu>Ngendlela ongakhona ngayo.</zulu> So <zulu>bezofeeler nabo</zulu> right.,<english>The way that you are.</english> So <english>they can also feel</english> right.,,
,,Interviewer,,"Okay, <zulu>mhlawumbe umbuzo lona uyaphindaphinda futhi.</zulu> What language do you use in school, <zulu>lapha eYunivesithi?</zulu>","Okay, <english>perhaps this question is repetitive.</english> What language do you use in school, <english>here at the university?</english>",,
,,Participant,,"Ngiwasebenzisa owu-two amalanguage, ngisebenzisa isiZulu neEnglish.","I use both languages, I use Zulu and English.",,
,,Interviewer,,"Okay, alright. Aah, do you think it is important to know English? <zulu>Ucabanga ukuthi kubalulekile ukuthi ukwazi isiNgisi?</zulu>","Okay, alright. Aah, do you think it is important to know English? <english>Do you think it is important to know English?</english>",,
,,Participant,,"Yes, I think it is important.","Yes, I think it is important.",,
,,Interviewer,,Why?,Why?,,
,,Participant,,<zulu>Ngoba ngendlela engibheka ngayo nje emhlabeni jikelele uma ubheka amapercentage esiNgisi esikhulunywa ngayo kumacountry- maningi kakhulu.</zulu> And <zulu>siyakusiza ukuthi siku-expose coz vele i- iEnglish iyona</zulu> language <zulu label='expertise'> esetshenziswa kakhulu</zulu label='expertise'> like- like <zulu>lana eSouth Africa. So <zulu>uba-exposed kumaprovinces amaningi.</zulu>,<english>Because the way I look at it here in the world when you look at the percentages of how English is spoken in many countries- they are so many.</english> And <english>it helps expose you because really the- English is the one</english> language <english>mostly used</english> like- like <english>here in South Africa. So <english>you get exposed to the many provinces.</english>,,"SM: Expertise. OLF: ""esetshenziswa"" is used to demonstrate the Participant's level of expertise regarding English usage in the world."
,,Interviewer,,"Alright. Do you think it is important for anyone to know his native language, <zulu>ulimi lwakho lwebele? Ucabanga ukuthi ku-important ukuthi umuntu abelwazi? Alukhulume futhi?</zulu>","Alright. Do you think it is important for anyone to know his native language, <english>your mother tongue? Do you think it is important for a person to know it? Also speak it?</english>",,
,,Participant,,<zulu>Kubalulekile ukuthi alwazi.</zulu>,<english>It is important that one knows it.</english>,,
,,Interviewer,,"Mmhhh, why?","Mmhhh, why?",,
,,Participant,,<zulu>Kubalulekile.</zulu>,<english>It is important.</english>,,
,,Interviewer,,Why?,Why?,,
