Name of the file,Topic,Participant,Time,Dialogue,Translation,CS/DM,Comments
DS00005,,Interviewer,00:00,"Okay, <zulu>asiqale phansi.</zulu> What languages do you use at home?","Okay, <english>let us start</english>. What languages do you use at home?",,
,,Participant,,"Aah, it’s isiZulu","Aah, it’s isiZulu",,
,,Interviewer,,Okay=,Okay=,,
,,Participant,,"Because it’s the language I was brought up in. Ah, most of my family, we all speak isiZulu.","Because it’s the language I was brought up in. Ah, most of my family, we all speak isiZulu.",,
,,Interviewer,,"Okay, <afrikaans>ja</afrikaans>, oh, how about  the language that you use with your friends?","Okay, <english>yes</english>, oh, how about  the language that you use with your friends?",,
,,Participant,,"<afrikaans>Ja</afrikaans>, I use mostly <zulu>isiZulu</zulu> and English.","<english>Yes</english>, I use mostly <english Zulu</english> and English.",,
,,Interviewer,,Mhhh=,Mhhh=,,
,,Participant,,"But here in school, <afrikaans>ja-</afrikaans> coz- <afrikaans>ja</afrikaans> sometimes I code-switch.","But here in school, <english>yes-</english> coz- <english>yes</english> sometimes I code-switch.",,
,,Interviewer,,<afrikaans>Ja</afrikaans>=,<english>Yes</english>=,,
,,Participant,,"Between the two, <afrikaans>ja</afrikaans>.","Between the two, <english>yes</english>.",,
,,Interviewer,,"Mh, alright. Eh, how about <zulu>lapha eyunivesithi</zulu>, what language do you use?","Mh, alright. Eh, how about <english>here at university</english>, what language do you use?",,
,,Participant,,I use English mostly=,I use English mostly=,,
,,Interviewer,,English <zulu>kakhulu</zulu>?,English <english>mostly</english>?,,
,,Participant,,<afrikaans>Ja</afrikaans>.,<english>Yes</english>.,,
,,Interviewer,,Why <zulu>Inglishi kakhulu la eyunivesithi</zulu>?,Why <english>why English mostly here at university</english>?,,
,,Participant,,"Coz- coz most- coz most of the module im doing, ah- ah-","Coz- coz most- coz most of the module im doing, ah- ah-",,
,,Interviewer,,English modules?,English modules?,,
,,Participant,,"Yes, are English modules.","Yes, are English modules.",,
,,Interviewer,,"Okay, alright. Ah, <zulu>ucabanga ukuthi</zulu> is it important <zulu>ukuthi khona nomuntu azi isiZulu</zulu>? I mean English?","Okay, alright. Ah, <english>do you think that</english> is it important <english>that a person should know Zulu</english>? I mean English?",,
,,Participant,,English?,English?,,
,,Interviewer,,Is it important <zulu>ukuthi umuntu azi i</zulu>English? Why?,Is it important <english>it is important for a person to know</english>English? Why?,,
,,Participant,,"Yes, I believe so because I believe English is a universal language. Coz it’s- despite your background, despite your home language you can- you can connect with other people from different language, languages. Like for instance if you- someone is Sotho, you don’t understand Sotho or Venda-","Yes, I believe so because I believe English is a universal language. Coz it’s- despite your background, despite your home language you can- you can connect with other people from different language, languages. Like for instance if you- someone is Sotho, you don’t understand Sotho or Venda-",,SM : Expertise. UNMARKED CODE-SWITCHING.
,,Interviewer,,Mh.,Mh.,,
,,Participant,,The language that connects you two is English.,The language that connects you two is English.,,
,,Interviewer,,Okay,Okay,,
,,Participant,,<afrikaans>Ja<afrikaans>.,<english>Yes<english>.,,
,,Interviewer,,"That’s powerful, hhe? Ah, do you think it is important to- to- for anyone to know his mother lang- <zulu>ulimi lwakhe lokuzalwa, ulimi lwebele</zulu>?","That’s powerful, hhe? Ah, do you think it is important to- to- for anyone to know his mother lang- <english>his mother tongue, mother tongue</english>?",,
,,Participant,,"<afrikaans>Ja,</afrikaans> I believe so coz without- without knowing your basic language, I believe that you don’t have a strong foundation coz you don’t know who you are coz they say you must know where you come from before you know- before, ah you know what you want in life.","<english>Yes,</english> I believe so coz without- without knowing your basic language, I believe that you don’t have a strong foundation coz you don’t know who you are coz they say you must know where you come from before you know- before, ah you know what you want in life.",,SM : Expertise. UNMARKED CODE-SWITCHING.
,,Interviewer,,<afrikaans>Ja</afrikaans> exactly. That’s true. Ah- ah- do you mix several languages in one conversation?,<english>Yes</english> exactly. That’s true. Ah- ah- do you mix several languages in one conversation?,,
,,Participant,,"Yes I do. I do especially when I’m speaking with my friends. <afrikaans>Ja</afrikaans>, sometimes I swi- I code- I mix Zulu and English. And sometimes I mix <zulu>tsotsi</zulu> style and languages-","Yes I do. I do especially when I’m speaking with my friends. <english>Yes</english>, sometimes I swi- I code- I mix Zulu and English. And sometimes I mix <english>slang</english> style and languages-",,
,,Interviewer,,"What makes you to mix, why do you mix it?","What makes you to mix, why do you mix it?",,
,,Participant,,It’s- coz it’s because it’s the language that- coz I usually speak- mix- ah- English and Zulu coz it’s language that I mostly speak so it just happen unconsciously.,It’s- coz it’s because it’s the language that- coz I usually speak- mix- ah- English and Zulu coz it’s language that I mostly speak so it just happen unconsciously.,,
,,Interviewer,,Mh.,Mh.,,
,,Participant,,<afrikaans>Ja</afrikaans> on-,<english>Yes</english> on-,,
,,Interviewer,,"No, that’s true. Have you noticed any difference between the way you speak and how other students talk?","No, that’s true. Have you noticed any difference between the way you speak and how other students talk?",,
,,Participant,,"Oh yes, I do coz some- some other people like those ah- those people who are- have been raised in the- in the modern- in the modern way- like those who- ah- who(…) for instance those who- like if you are a Zulu person then you went to an English school, the way they speak if- if- if <zulu label='accommodation'>mina ngi-</zulu label='accommodation'> I was- I went to the government school where- where- where- we were taught English in Zulu. My Zulu wont be the same as the one who taught in English school=","Oh yes, I do coz some- some other people like those ah- those people who are- have been raised in the- in the modern- in the modern way- like those who- ah- who(…) for instance those who- like if you are a Zulu person then you went to an English school, the way they speak if- if- if <english>me I-</english> I was- I went to the government school where- where- where- we were taught English in Zulu. My Zulu wont be the same as the one who taught in English school=",DM,"SM: Accommodation. LF: ""mina"" is used and a quick code-switch to English comes to express a sentiment shared by mostly those that never attended Model C (White) schools."
,,Interviewer,,Okay=,Okay=,,
,,Participant,,"You find that they are fluent when they are speaking, and sometimes they don’t mumble like I do. So it’s- <afrikaans>ja</afrikaans> it’s a huge gap.","You find that they are fluent when they are speaking, and sometimes they don’t mumble like I do. So it’s- <english>yes</english> it’s a huge gap.",,
,,Interviewer,,"Mh. Okay, can you tell if somebody is from your area by the way he talks?","Mh. Okay, can you tell if somebody is from your area by the way he talks?",,
,,Participant,,"Definitely,","Definitely,",,
,,Interviewer,,Mh.,Mh.,,
,,Participant,,The way we talk and especially the Zulu people the way- when they speak=,The way we talk and especially the Zulu people the way- when they speak=,,
,,Interviewer,,Mh.,Mh.,,
,,Participant,,"You can tell the way- because their vocab it’s- it’s so- it’s deep, and it’s- sometimes they really stumble with words. <afrikaans>Ja</afrikaans>, sometimes- i- <afrikaans>ja-</afrikaans> you can tell by the way they speak=","You can tell the way- because their vocab it’s- it’s so- it’s deep, and it’s- sometimes they really stumble with words. <english>Yes</english>, sometimes- i- <english>yes-</english> you can tell by the way they speak=",,
,,Interviewer,,"Okay, no that’s great. Ah, if you just heard someone talks without seeing this person could you tell what kind of background, whether he is educated or whether he's got high position in society or whether he’s a politician or whether- can you tell?","Okay, no that’s great. Ah, if you just heard someone talks without seeing this person could you tell what kind of background, whether he is educated or whetherhe's got high position in society or whether he’s a politician or whether- can you tell?",,
